,P_ID,year,month,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
211,66657,2020,9,0.000,9,9,2,0,0,0,0,1,0,0,0,0,4,1,0.077
212,64610,2020,9,0.385,48,39,3,15,1,0,0,4,0,0,6,0,9,1,0.385
213,74339,2020,5,0.300,43,40,11,12,1,0,2,6,0,0,3,0,6,0,0.300
214,74339,2020,6,0.257,80,70,9,18,4,0,3,11,0,0,10,0,10,1,0.273
215,74339,2020,7,0.306,77,72,8,22,4,0,1,12,0,0,5,0,10,1,0.286
216,74339,2020,8,0.266,90,79,7,21,4,0,2,10,0,0,10,0,9,5,0.280
217,74339,2020,9,0.226,68,62,5,14,0,0,1,9,0,0,6,0,8,0,0.269
218,64100,2020,5,0.167,7,6,0,1,0,0,0,1,0,0,0,1,1,0,0.167
219,64100,2020,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167
220,64100,2020,9,0.333,7,6,0,2,0,0,0,0,0,0,0,0,2,1,0.250
221,64101,2020,5,0.000,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0.000
222,64101,2020,6,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
223,64101,2020,7,0.000,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0.000
224,64101,2020,8,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000
225,62056,2020,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
226,69737,2020,5,0.209,45,43,7,9,4,0,3,4,0,0,2,0,16,1,0.209
227,69737,2020,6,0.169,64,59,5,10,2,0,1,3,0,0,4,0,18,1,0.186
228,69737,2020,7,0.000,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0.174
229,69737,2020,8,0.288,59,52,8,15,2,2,2,11,0,0,4,2,16,2,0.211
230,69737,2020,9,0.224,86,76,7,17,5,0,1,9,0,1,10,0,31,2,0.215
231,68200,2020,6,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
232,68200,2020,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
233,60523,2020,5,0.367,36,30,7,11,2,0,1,7,1,0,4,1,8,0,0.367
234,60523,2020,6,0.286,44,42,6,12,4,0,0,2,0,0,2,0,9,1,0.319
235,60523,2020,7,0.326,104,92,19,30,6,0,4,20,3,1,10,2,23,0,0.323
236,60523,2020,8,0.310,106,87,19,27,2,1,3,13,3,0,17,0,15,2,0.319
237,60523,2020,9,0.276,70,58,8,16,2,0,1,6,0,0,9,1,9,2,0.311
238,68204,2020,6,0.211,44,38,3,8,0,0,0,2,1,0,2,0,10,0,0.211
239,68204,2020,7,0.500,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0.225
240,68204,2020,8,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.233
241,68204,2020,9,0.500,4,4,1,2,1,0,0,3,0,0,0,0,1,0,0.255
242,65136,2020,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
243,61554,2020,6,0.235,21,17,3,4,1,0,0,2,0,0,2,2,3,0,0.235
244,61554,2020,7,1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.278
245,64115,2020,6,0.286,15,14,1,4,2,0,0,0,0,0,1,0,2,0,0.286
246,64115,2020,7,0.250,13,12,3,3,0,0,0,2,0,0,1,0,1,0,0.269
247,64115,2020,8,0.194,37,31,5,6,1,0,1,4,0,0,4,0,4,1,0.228
248,64115,2020,9,0.000,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0.217
249,68211,2020,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
250,68211,2020,9,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.000
251,65653,2020,6,0.289,89,76,21,22,4,2,3,8,3,1,9,2,26,1,0.289
252,65653,2020,7,0.087,27,23,5,2,0,0,0,3,0,1,1,1,11,0,0.242
253,65653,2020,8,0.182,25,22,5,4,1,0,1,5,0,0,3,0,10,1,0.231
254,65653,2020,9,0.000,7,6,2,0,0,0,0,0,0,1,1,0,5,0,0.220
255,50802,2020,8,0.000,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0.000
256,50802,2020,9,0.176,24,17,3,3,1,0,1,4,0,0,6,1,1,0,0.136
257,50293,2020,6,0.200,19,15,1,3,0,0,0,2,0,0,3,1,2,0,0.200
258,50293,2020,9,0.500,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0.235
259,61566,2020,5,0.111,21,18,0,2,1,0,0,0,0,0,2,1,8,0,0.111
260,61566,2020,6,0.273,25,22,2,6,0,0,1,2,0,0,1,0,6,3,0.200
261,61566,2020,7,0.333,10,9,1,3,0,0,0,3,0,0,1,0,1,0,0.224
262,61566,2020,8,0.182,13,11,1,2,2,0,0,0,0,0,2,0,4,1,0.217
263,61566,2020,9,0.182,12,11,0,2,1,0,0,1,0,0,1,0,3,0,0.211
264,50819,2020,6,0.500,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0.500
265,50819,2020,7,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0.250
266,64646,2020,5,0.275,110,102,17,28,5,0,1,7,3,3,8,0,23,1,0.275
267,64646,2020,6,0.162,74,68,8,11,2,0,0,3,2,0,3,0,9,2,0.229
268,64646,2020,7,0.279,94,86,14,24,2,0,2,8,3,1,5,0,15,3,0.246
269,64646,2020,8,0.203,88,79,7,16,2,0,0,8,5,0,6,0,17,0,0.236
270,64646,2020,9,0.222,67,54,8,12,3,0,0,5,0,3,8,0,8,2,0.234
271,67207,2020,5,1.000,3,1,3,1,0,1,0,0,0,1,2,0,0,0,1.000
272,67207,2020,6,0.333,29,24,5,8,0,0,0,3,2,0,4,0,8,0,0.360
273,67207,2020,7,0.500,7,6,3,3,0,0,0,1,2,0,0,0,0,0,0.387
274,67207,2020,8,0.182,40,33,11,6,1,0,0,1,7,0,5,1,10,2,0.281
275,67207,2020,9,0.333,9,6,3,2,0,0,0,1,0,2,2,1,3,0,0.286
276,68743,2020,5,0.276,87,76,10,21,5,0,1,6,1,1,9,2,13,1,0.276
277,68743,2020,6,0.244,93,82,6,20,3,2,1,14,0,0,11,0,9,0,0.259
278,68743,2020,7,0.243,91,70,9,17,1,0,1,9,0,0,17,2,8,3,0.254
279,68743,2020,8,0.192,32,26,3,5,0,0,0,0,0,0,4,1,11,0,0.248
280,69766,2020,7,0.188,34,32,3,6,1,0,0,0,0,1,2,0,12,0,0.188
281,69766,2020,8,0.100,12,10,0,1,0,0,0,0,0,0,2,0,6,0,0.167
282,76757,2020,9,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
283,60558,2020,5,0.115,29,26,4,3,0,1,0,1,1,0,1,2,6,1,0.115
284,60558,2020,6,0.500,14,12,3,6,1,0,0,4,0,0,0,2,4,0,0.237
285,60558,2020,7,0.167,12,12,0,2,0,0,0,0,0,0,0,0,6,1,0.220
286,60558,2020,8,0.306,40,36,5,11,4,0,1,8,2,1,2,1,2,1,0.256
287,60558,2020,9,0.313,68,64,9,20,3,0,2,8,5,3,2,1,8,2,0.280
288,66702,2020,5,0.125,8,8,0,1,0,0,0,0,0,0,0,0,2,0,0.125
289,66702,2020,6,0.091,11,11,1,1,0,0,0,0,0,0,0,0,4,0,0.105
290,66702,2020,7,0.091,12,11,4,1,0,0,0,0,0,0,0,1,4,0,0.100
291,76430,2020,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
292,64657,2020,5,0.205,58,44,8,9,1,0,0,3,0,0,8,3,17,1,0.205
293,64657,2020,6,0.161,78,62,10,10,3,0,0,1,1,0,11,2,21,0,0.179
294,64657,2020,7,0.304,77,56,11,17,2,0,0,4,1,0,18,3,17,2,0.222
