"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","RBI","BB","HP","KK","GD","AVG","PA","SB","CS","SF"
2020,7,79290,"OB",17,3,0,0,0,2,0,0,4,1,0.176,17,0,0,0
2020,7,77248,"OB",58,10,4,1,1,10,5,0,16,2,0.172,64,5,1,1
2020,7,66614,"HT",41,7,1,1,1,2,5,0,7,0,0.171,49,0,0,3
2020,7,63257,"OB",6,1,1,0,0,0,1,0,0,0,0.167,8,0,0,1
2020,7,69306,"WO",6,1,1,0,0,0,0,0,2,0,0.167,6,0,0,0
2020,7,60558,"SK",12,2,0,0,0,0,0,0,6,1,0.167,12,0,0,0
2020,7,64012,"KT",6,1,0,0,0,0,0,0,3,0,0.167,6,0,0,0
2020,7,61404,"SS",6,1,0,0,0,0,1,1,1,1,0.167,8,0,1,0
2020,7,62409,"SS",12,2,1,0,0,0,1,0,3,0,0.167,14,1,0,1
2020,7,71842,"OB",19,3,1,0,0,1,0,0,6,0,0.158,20,0,0,1
2020,7,63700,"HH",13,2,1,0,1,2,1,0,4,0,0.154,14,0,0,0
2020,7,66354,"WO",20,3,0,0,0,0,1,0,4,0,0.15,22,0,0,1
2020,7,65503,"HH",20,3,0,0,1,4,0,0,5,0,0.15,20,0,0,0
2020,7,65898,"WO",7,1,0,0,0,0,2,0,4,0,0.143,9,0,0,0
2020,7,64890,"SK",7,1,1,0,0,0,0,0,1,1,0.143,7,0,0,0
2020,7,50709,"HH",14,2,0,0,0,1,1,0,8,1,0.143,15,0,0,0
2020,7,78756,"HH",64,9,1,0,1,6,4,0,13,5,0.141,69,0,0,1
2020,7,61353,"SK",31,4,0,0,0,2,2,0,7,1,0.129,33,0,1,0
2020,7,63202,"OB",8,1,0,0,0,0,0,0,2,1,0.125,8,0,0,0
2020,7,62802,"KT",8,1,0,0,0,1,3,0,3,0,0.125,12,1,0,1
2020,7,68518,"LT",25,3,0,0,0,0,2,0,8,2,0.12,30,0,0,3
2020,7,63450,"SK",17,2,0,0,0,0,3,0,6,0,0.118,20,0,0,0
2020,7,75808,"LG",17,2,0,0,0,4,2,0,2,1,0.118,19,0,0,0
2020,7,65506,"LT",17,2,0,0,0,0,2,0,5,1,0.118,19,1,0,0
2020,7,69100,"LG",18,2,0,0,0,0,3,1,4,0,0.111,23,0,0,1
